ID,Name,Artists,Streams,S.Week,BB.Week
92,Drug Addicts,Lil Pump,2245011,2018-07-20,2018-07-21
93,King's Dead,"Jay Rock, Kendrick Lamar, Future, James Blake",2225221,2018-07-20,2018-07-21
94,Jaded,Drake,2219760,2018-07-20,2018-07-21
95,WIFI LIT,Future,2215206,2018-07-20,2018-07-21
96,Better Not,Louis The Child,2212471,2018-07-20,2018-07-21
97,Red Roses,Lil Skies,2211452,2018-07-20,2018-07-21
98,Lean Wit Me,Juice WRLD,2197109,2018-07-20,2018-07-21
99,Call Out My Name,The Weeknd,2186630,2018-07-20,2018-07-21
100,Yikes,Kanye West,2184125,2018-07-20,2018-07-21
101,Freaky Friday,Lil Dicky,2168567,2018-07-20,2018-07-21
102,Stay,Post Malone,2166509,2018-07-20,2018-07-21
103,Spoil My Night,Post Malone,2165472,2018-07-20,2018-07-21
104,New Light,John Mayer,2154658,2018-07-20,2018-07-21
105,Paranoid,Post Malone,2142698,2018-07-20,2018-07-21
106,Real Rich,Wiz Khalifa,2124286,2018-07-20,2018-07-21
107,Narcos,Migos,2119793,2018-07-20,2018-07-21
108,Congratulations,Post Malone,2119606,2018-07-20,2018-07-21
109,PICK IT UP,Famous Dex,2115042,2018-07-20,2018-07-21
110,HUMBLE.,Kendrick Lamar,2111262,2018-07-20,2018-07-21
111,I'm a Mess,Bebe Rexha,2110740,2018-07-20,2018-07-21
112,Rich & Sad,Post Malone,2109492,2018-07-20,2018-07-21
113,Nevermind,Dennis Lloyd,2096324,2018-07-20,2018-07-21
114,Sin Pijama,Becky G,2090623,2018-07-20,2018-07-21
115,FRIENDS,Marshmello,2085167,2018-07-20,2018-07-21
116,Life Goes On,Lil Baby,2081614,2018-07-20,2018-07-21
117,Nowadays,Lil Skies,2078798,2018-07-20,2018-07-21
118,Stir Fry,Migos,2073993,2018-07-20,2018-07-21
119,All The Stars,"Kendrick Lamar, SZA",2071249,2018-07-20,2018-07-21
120,NUMB,XXXTENTACION,2037581,2018-07-20,2018-07-21
121,TATI,6ix9ine,2024337,2018-07-20,2018-07-21
122,Roll In Peace,Kodak Black,2013450,2018-07-20,2018-07-21
123,Watch,Travis Scott,2007394,2018-07-20,2018-07-21
124,Heaven,Kane Brown,1988314,2018-07-20,2018-07-21
125,goosebumps,Travis Scott,1975717,2018-07-20,2018-07-21
126,Thunder,Imagine Dragons,1957374,2018-07-20,2018-07-21
127,Havana,Camila Cabello,1928726,2018-07-20,2018-07-21
128,Hot Now,Wiz Khalifa,1918841,2018-07-20,2018-07-21
129,Peak,Drake,1895004,2018-07-20,2018-07-21
130,KOD,J. Cole,1892443,2018-07-20,2018-07-21
131,Young Dumb & Broke,Khalid,1890253,2018-07-20,2018-07-21
132,Enemies,Lauv,1880850,2018-07-20,2018-07-21
133,92 Explorer,Post Malone,1871160,2018-07-20,2018-07-21
134,Bank Account,21 Savage,1868652,2018-07-20,2018-07-21
135,Location,Khalid,1850645,2018-07-20,2018-07-21
136,Who Want The Smoke?,Lil Yachty,1843143,2018-07-20,2018-07-21
137,Be Careful,Cardi B,1827223,2018-07-20,2018-07-21
138,2002,Anne-Marie,1825009,2018-07-20,2018-07-21
139,Esskeetit,Lil Pump,1824356,2018-07-20,2018-07-21
140,Bodak Yellow,Cardi B,1824115,2018-07-20,2018-07-21
141,Believer,Imagine Dragons,1822850,2018-07-20,2018-07-21
142,I Know You,Lil Skies,1804130,2018-07-20,2018-07-21
143,Plain Jane,A$AP Ferg,1788268,2018-07-20,2018-07-21
144,Betrayed,Lil Xan,1785763,2018-07-20,2018-07-21
145,Is There More,Drake,1773708,2018-07-20,2018-07-21
146,Connection,OneRepublic,1769458,2018-07-20,2018-07-21
147,Bounce Out With That,YBN Nahmir,1754975,2018-07-20,2018-07-21
148,Reborn,KIDS SEE GHOSTS,1750632,2018-07-20,2018-07-21
149,Self Care,Mac Miller,1733598,2018-07-20,2018-07-21
150,Ratchet Happy Birthday,Drake,1725991,2018-07-20,2018-07-21
151,Millidelphia,Meek Mill,1719984,2018-07-20,2018-07-21
152,Creeping,Lil Skies,1708944,2018-07-20,2018-07-21
153,1942,G-Eazy,1706975,2018-07-20,2018-07-21
154,Guatemala - From Swaecation,Rae Sremmurd,1705301,2018-07-20,2018-07-21
155,Outside Today,YoungBoy Never Broke Again,1702127,2018-07-20,2018-07-21
156,I Like Me Better,Lauv,1689611,2018-07-20,2018-07-21
157,1-800-273-8255,Logic,1677882,2018-07-20,2018-07-21
158,You Make It Easy,Jason Aldean,1668687,2018-07-20,2018-07-21
159,If You're Over Me,Years & Years,1664340,2018-07-20,2018-07-21
160,LOVE.,Kendrick Lamar,1656220,2018-07-20,2018-07-21
161,In My Blood,Shawn Mendes,1655610,2018-07-20,2018-07-21
162,BUTTERFLY EFFECT,Travis Scott,1652040,2018-07-20,2018-07-21
163,Shape of You,Ed Sheeran,1644696,2018-07-20,2018-07-21
164,No Es Justo,J Balvin,1643634,2018-07-20,2018-07-21
165,No Limit,G-Eazy,1631857,2018-07-20,2018-07-21
166,Final Fantasy,Drake,1630644,2018-07-20,2018-07-21
167,Africa,Toto,1610784,2018-07-20,2018-07-21
168,Let You Down,NF,1610492,2018-07-20,2018-07-21
169,Unforgettable,French Montana,1605400,2018-07-20,2018-07-21
170,New Freezer,Rich The Kid,1599879,2018-07-20,2018-07-21
171,Like To Be You feat. Julia Michaels,Shawn Mendes,1597790,2018-07-20,2018-07-21
172,New Rules,Dua Lipa,1594090,2018-07-20,2018-07-21
173,Only You,"Cheat Codes, Little Mix",1577548,2018-07-20,2018-07-21
174,Jump,"Julia Michaels, Trippie Redd",1571422,2018-07-20,2018-07-21
175,Everyday,Logic,1571232,2018-07-20,2018-07-21
176,Delicate,Taylor Swift,1562105,2018-07-20,2018-07-21
177,Audio,Sia,1550378,2018-07-20,2018-07-21
178,Beautiful Crazy,Luke Combs,1549970,2018-07-20,2018-07-21
179,March 14,Drake,1548946,2018-07-20,2018-07-21
180,Ned Flanders,MadeinTYO,1546170,2018-07-20,2018-07-21
181,IDGAF,Dua Lipa,1545674,2018-07-20,2018-07-21
182,Black & White,Juice WRLD,1544107,2018-07-20,2018-07-21
183,Redbone,Childish Gambino,1541058,2018-07-20,2018-07-21
184,Perfect,Ed Sheeran,1540804,2018-07-20,2018-07-21
185,Over Now,Post Malone,1536200,2018-07-20,2018-07-21
186,Bartier Cardi,Cardi B,1535050,2018-07-20,2018-07-21
187,Revenge,XXXTENTACION,1533947,2018-07-20,2018-07-21
188,Never Be the Same,Camila Cabello,1529690,2018-07-20,2018-07-21
189,MotorSport,Migos,1528444,2018-07-20,2018-07-21
190,idontwannabeyouanymore,Billie Eilish,1520003,2018-07-20,2018-07-21
191,Silence,Marshmello,1511930,2018-07-20,2018-07-21
192,Body Like A Back Road,Sam Hunt,1507163,2018-07-20,2018-07-21
193,I Don't Wanna Do This Anymore,XXXTENTACION,1507054,2018-07-20,2018-07-21
194,One Number Away,Luke Combs,1503186,2018-07-20,2018-07-21
195,Carry On,XXXTENTACION,1493922,2018-07-20,2018-07-21
196,The Way Life Goes,Lil Uzi Vert,1492396,2018-07-20,2018-07-21
197,Closer,The Chainsmokers,1491556,2018-07-20,2018-07-21
198,I Get The Bag,Gucci Mane,1469642,2018-07-20,2018-07-21
199,Chun-Li,Nicki Minaj,1469135,2018-07-20,2018-07-21
200,rockstar,Post Malone,15268097,2017-11-10,2017-11-11
201,Gucci Gang,Lil Pump,9239147,2017-11-10,2017-11-11
202,Too Good At Goodbyes,Sam Smith,8138285,2017-11-10,2017-11-11
203,Havana,Camila Cabello,8017572,2017-11-10,2017-11-11
204,I Fall Apart,Post Malone,7851950,2017-11-10,2017-11-11
205,Bank Account,21 Savage,6675162,2017-11-10,2017-11-11
206,1-800-273-8255,Logic,6561384,2017-11-10,2017-11-11
207,Ghostface Killers,21 Savage,6006967,2017-11-10,2017-11-11
208,What Lovers Do,Maroon 5,5972391,2017-11-10,2017-11-11
209,Ric Flair Drip (& Metro Boomin),Offset,5872487,2017-11-10,2017-11-11
210,MotorSport,Migos,5864166,2017-11-10,2017-11-11
211,Young Dumb & Broke,Khalid,5610478,2017-11-10,2017-11-11
212,No Limit,G-Eazy,5597102,2017-11-10,2017-11-11
213,Wolves,Selena Gomez,5571219,2017-11-10,2017-11-11
214,Bodak Yellow,Cardi B,5505005,2017-11-10,2017-11-11
215,XO TOUR Llif3,Lil Uzi Vert,5503022,2017-11-10,2017-11-11
216,I Get The Bag,Gucci Mane,5165125,2017-11-10,2017-11-11
217,Plain Jane,A$AP Ferg,5136705,2017-11-10,2017-11-11
218,Let You Down,NF,5112123,2017-11-10,2017-11-11
219,New Rules,Dua Lipa,4888191,2017-11-10,2017-11-11
220,Congratulations,Post Malone,4831799,2017-11-10,2017-11-11
221,Sorry Not Sorry,Demi Lovato,4779454,2017-11-10,2017-11-11
222,Perfect,Ed Sheeran,4776109,2017-11-10,2017-11-11
223,Silence,Marshmello,4742766,2017-11-10,2017-11-11
224,Candy Paint,Post Malone,4579008,2017-11-10,2017-11-11
225,Call It What You Want,Taylor Swift,4416506,2017-11-10,2017-11-11
5251,All Time Low,Jon Bellion,2073078,2017-01-06,2017-01-07
227,Bad At Love,Halsey,4312258,2017-11-10,2017-11-11
228,Feel It Still,Portugal. The Man,4261794,2017-11-10,2017-11-11
229,HUMBLE.,Kendrick Lamar,4251881,2017-11-10,2017-11-11
230,Let Me Go,"Hailee Steinfeld, Alesso, Florida Georgia Line, watt",4178382,2017-11-10,2017-11-11
231,Jocelyn Flores,XXXTENTACION,4106628,2017-11-10,2017-11-11
232,Pray,Sam Smith,4102723,2017-11-10,2017-11-11
233,Unforgettable,French Montana,4091439,2017-11-10,2017-11-11
234,BUTTERFLY EFFECT,Travis Scott,4057147,2017-11-10,2017-11-11
235,Roll In Peace,Kodak Black,3931671,2017-11-10,2017-11-11
236,Meant to Be,Bebe Rexha,3862750,2017-11-10,2017-11-11
237,goosebumps,Travis Scott,3770348,2017-11-10,2017-11-11
238,How Long,Charlie Puth,3602120,2017-11-10,2017-11-11
239,Fuck Love,XXXTENTACION,3475929,2017-11-10,2017-11-11
240,Location,Khalid,3456869,2017-11-10,2017-11-11
241,Drowning,A Boogie Wit da Hoodie,3427493,2017-11-10,2017-11-11
242,Rake It Up,Yo Gotti,3421705,2017-11-10,2017-11-11
243,Dusk Till Dawn - Radio Edit,ZAYN,3410235,2017-11-10,2017-11-11
244,Slippery,Migos,3343364,2017-11-10,2017-11-11
245,Thunder,Imagine Dragons,3338201,2017-11-10,2017-11-11
246,Go Flex,Post Malone,3190266,2017-11-10,2017-11-11
247,Rap Saved Me,21 Savage,3071292,2017-11-10,2017-11-11
248,My Choppa Hate Niggas,21 Savage,2952469,2017-11-10,2017-11-11
249,The Race,Tay-K,2927575,2017-11-10,2017-11-11
250,Stargazing,Kygo,2925406,2017-11-10,2017-11-11
251,Glorious,Macklemore,2879422,2017-11-10,2017-11-11
252,Wait,Maroon 5,2861560,2017-11-10,2017-11-11
253,LOVE.,Kendrick Lamar,2770045,2017-11-10,2017-11-11
254,Sauce It Up,Lil Uzi Vert,2733797,2017-11-10,2017-11-11
255,Transportin',Kodak Black,2616786,2017-11-10,2017-11-11
256,Burning,Sam Smith,2572518,2017-11-10,2017-11-11
257,Believer,Imagine Dragons,2562657,2017-11-10,2017-11-11
258,Look What You Made Me Do,Taylor Swift,2485035,2017-11-10,2017-11-11
259,Magnolia,Playboi Carti,2469072,2017-11-10,2017-11-11
260,"Homemade Dynamite (Feat. Khalid, Post Malone & SZA) - REMIX",Lorde,2465569,2017-11-10,2017-11-11
262,Lemon,N.E.R.D,2450165,2017-11-10,2017-11-11
263,Betrayed,Lil Xan,2439863,2017-11-10,2017-11-11
264,Pull Up N Wreck (With Metro Boomin),Big Sean,2434497,2017-11-10,2017-11-11
265,Love Galore,SZA,2427651,2017-11-10,2017-11-11
266,DNA.,Kendrick Lamar,2427127,2017-11-10,2017-11-11
267,Relationship,Young Thug,2385870,2017-11-10,2017-11-11
268,Attention,Charlie Puth,2381360,2017-11-10,2017-11-11
269,I Miss You,Clean Bandit,2380534,2017-11-10,2017-11-11
270,White Iverson,Post Malone,2344253,2017-11-10,2017-11-11
3629,All Time Low,Jon Bellion,2913203,2017-01-13,2017-01-14
272,Say It First,Sam Smith,2322592,2017-11-10,2017-11-11
273,Nothing Left For You,Sam Smith,2315731,2017-11-10,2017-11-11
274,Rubbin Off The Paint,YBN Nahmir,2315321,2017-11-10,2017-11-11
275,It's A Vibe,2 Chainz,2306931,2017-11-10,2017-11-11
276,Redbone,Childish Gambino,2303026,2017-11-10,2017-11-11
277,Body Like A Back Road,Sam Hunt,2290688,2017-11-10,2017-11-11
278,Questions,Chris Brown,2285619,2017-11-10,2017-11-11
279,Shape of You,Ed Sheeran,2249686,2017-11-10,2017-11-11
280,...Ready For It?,Taylor Swift,2240488,2017-11-10,2017-11-11
281,Good Old Days,Macklemore,2230193,2017-11-10,2017-11-11
282,wokeuplikethis*,Playboi Carti,2219107,2017-11-10,2017-11-11
283,One Last Song,Sam Smith,2200162,2017-11-10,2017-11-11
284,Mask Off,Future,2198443,2017-11-10,2017-11-11
285,Losin Control,Russ,2195282,2017-11-10,2017-11-11
286,Pills & Automobiles,Chris Brown,2175803,2017-11-10,2017-11-11
287,Gorgeous,Taylor Swift,2175715,2017-11-10,2017-11-11
288,Feels Great,Cheat Codes,2171925,2017-11-10,2017-11-11
289,Slow Hands,Niall Horan,2162486,2017-11-10,2017-11-11
290,Disrespectful,21 Savage,2124535,2017-11-10,2017-11-11
291,Everybody Dies In Their Nightmares,XXXTENTACION,2117408,2017-11-10,2017-11-11
292,Despacito - Remix,Luis Fonsi,2105784,2017-11-10,2017-11-11
293,Nightmare,Offset,2090847,2017-11-10,2017-11-11
294,Patek Water,Future,2082853,2017-11-10,2017-11-11
296,What Ifs,Kane Brown,2067507,2017-11-10,2017-11-11
20413,All Time Low,Jon Bellion,3655590,2017-01-20,2017-01-21
298,New Freezer,Rich The Kid,2053584,2017-11-10,2017-11-11
299,Mad Stalkers,21 Savage,2010320,2017-11-10,2017-11-11
300,Strip That Down,Liam Payne,2009334,2017-11-10,2017-11-11
301,Midnight Train,Sam Smith,2006156,2017-11-10,2017-11-11
302,No Peace,Sam Smith,1956723,2017-11-10,2017-11-11
303,Say You Won't Let Go,James Arthur,1943848,2017-11-10,2017-11-11
304,I'm the One,DJ Khaled,1940953,2017-11-10,2017-11-11
305,HIM,Sam Smith,1930487,2017-11-10,2017-11-11
306,Praying,Kesha,1923179,2017-11-10,2017-11-11
307,Lonely Together,Avicii,1920002,2017-11-10,2017-11-11
308,Sky Walker,Miguel,1898745,2017-11-10,2017-11-11
309,Unforgettable,Thomas Rhett,1898190,2017-11-10,2017-11-11
310,Wild Thoughts,DJ Khaled,1876666,2017-11-10,2017-11-11
311,Too Much To Ask,Niall Horan,1874724,2017-11-10,2017-11-11
312,New,Daya,1871532,2017-11-10,2017-11-11
313,iSpy,KYLE,1868824,2017-11-10,2017-11-11
314,What About Us,P!nk,1864511,2017-11-10,2017-11-11
315,Tunnel Vision,Kodak Black,1863988,2017-11-10,2017-11-11
316,"Baby, You Make Me Crazy",Sam Smith,1855874,2017-11-10,2017-11-11
317,LOYALTY.,Kendrick Lamar,1836313,2017-11-10,2017-11-11
318,Bounce Back,Big Sean,1823973,2017-11-10,2017-11-11
319,Bad and Boujee,Migos,1822605,2017-11-10,2017-11-11
320,I Like Me Better,Lauv,1815569,2017-11-10,2017-11-11
321,Perplexing Pegasus,Rae Sremmurd,1795905,2017-11-10,2017-11-11
322,T-Shirt,Migos,1767992,2017-11-10,2017-11-11
323,That's What I Like,Bruno Mars,1755279,2017-11-10,2017-11-11
324,beibs in the trap,Travis Scott,1742854,2017-11-10,2017-11-11
325,Bedroom Floor,Liam Payne,1729145,2017-11-10,2017-11-11
326,PICK IT UP,Famous Dex,1725310,2017-11-10,2017-11-11
327,Boss,Lil Pump,1724771,2017-11-10,2017-11-11
328,Look At Me!,XXXTENTACION,1705053,2017-11-10,2017-11-11
329,The Weekend,SZA,1692820,2017-11-10,2017-11-11
330,There's Nothing Holdin' Me Back,Shawn Mendes,1666101,2017-11-10,2017-11-11
331,Passionfruit,Drake,1650564,2017-11-10,2017-11-11
333,Crew,GoldLink,1611628,2017-11-10,2017-11-11
334,Friends,"Justin Bieber, BloodPop®",1611363,2017-11-10,2017-11-11
335,X,21 Savage,1605483,2017-11-10,2017-11-11
336,No Role Modelz,J. Cole,1601897,2017-11-10,2017-11-11
337,Curve,Gucci Mane,1601334,2017-11-10,2017-11-11
338,Palace,Sam Smith,1595272,2017-11-10,2017-11-11
339,A Different Way,"DJ Snake, Lauv",1591351,2017-11-10,2017-11-11
340,The Thrill Of It All,Sam Smith,1562349,2017-11-10,2017-11-11
341,Swang,Rae Sremmurd,1557653,2017-11-10,2017-11-11
342,Scars,Sam Smith,1556721,2017-11-10,2017-11-11
343,Now Or Never,Halsey,1535394,2017-11-10,2017-11-11
344,Run Up the Racks,21 Savage,1531667,2017-11-10,2017-11-11
345,PRBLMS,6LACK,1531035,2017-11-10,2017-11-11
346,When It Rains It Pours,Luke Combs,1525668,2017-11-10,2017-11-11
347,No Option,Post Malone,1522037,2017-11-10,2017-11-11
348,First Day Out,Tee Grizzley,1516044,2017-11-10,2017-11-11
349,4:00 AM,2 Chainz,1510706,2017-11-10,2017-11-11
350,Starboy,The Weeknd,1494957,2017-11-10,2017-11-11
351,Undefeated,A Boogie Wit da Hoodie,1491630,2017-11-10,2017-11-11
352,Money Longer,Lil Uzi Vert,1486040,2017-11-10,2017-11-11
353,Something Just Like This,The Chainsmokers,1482877,2017-11-10,2017-11-11
354,Heartache On The Dance Floor,Jon Pardi,1480049,2017-11-10,2017-11-11
355,Closer,The Chainsmokers,1479309,2017-11-10,2017-11-11
356,Still Serving,21 Savage,1476892,2017-11-10,2017-11-11
357,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1464756,2017-11-10,2017-11-11
358,Myself,NAV,1463228,2017-11-10,2017-11-11
359,Kids in Love,Kygo,1461880,2017-11-10,2017-11-11
360,Caroline,Aminé,1453895,2017-11-10,2017-11-11
361,Portland,Drake,1447986,2017-11-10,2017-11-11
362,Reggaetón Lento (Remix),CNCO,1441309,2017-11-10,2017-11-11
363,Broccoli,DRAM,1436436,2017-11-10,2017-11-11
364,Ex Calling,6LACK,1433302,2017-11-10,2017-11-11
365,What They Want,Russ,1432291,2017-11-10,2017-11-11
366,Say A',A Boogie Wit da Hoodie,1429460,2017-11-10,2017-11-11
367,From The D To The A,Tee Grizzley,1416363,2017-11-10,2017-11-11
368,D Rose,Lil Pump,1416131,2017-11-10,2017-11-11
369,Feed Me Dope,Future,1415494,2017-11-10,2017-11-11
370,Feels,Calvin Harris,1410106,2017-11-10,2017-11-11
371,Darth Vader,21 Savage,1408583,2017-11-10,2017-11-11
372,No Complaints,Metro Boomin,1402845,2017-11-10,2017-11-11
373,Fake Love,Drake,1397687,2017-11-10,2017-11-11
374,One Day At A Time,Sam Smith,1393947,2017-11-10,2017-11-11
375,Don't,Bryson Tiller,1391117,2017-11-10,2017-11-11
376,In Case You Didn't Know,Brett Young,1386926,2017-11-10,2017-11-11
377,Stay,"Zedd, Alessia Cara",1386064,2017-11-10,2017-11-11
378,Both,Gucci Mane,1385775,2017-11-10,2017-11-11
379,Exchange,Bryson Tiller,1385694,2017-11-10,2017-11-11
380,Craving You,Thomas Rhett,1379308,2017-11-10,2017-11-11
381,Issues,Julia Michaels,1368602,2017-11-10,2017-11-11
382,Everyday We Lit,YFN Lucci,1367500,2017-11-10,2017-11-11
383,pick up the phone,Young Thug,1366351,2017-11-10,2017-11-11
384,Losing Sleep,Chris Young,1363387,2017-11-10,2017-11-11
385,Again,Noah Cyrus,1357531,2017-11-10,2017-11-11
386,Love Scars,Trippie Redd,1354606,2017-11-10,2017-11-11
387,Small Town Boy,Dustin Lynch,1351359,2017-11-10,2017-11-11
388,Greatest Love Story,LANCO,1343063,2017-11-10,2017-11-11
389,Flex Like Ouu,Lil Pump,1341244,2017-11-10,2017-11-11
390,No Problem,Chance the Rapper,1340924,2017-11-10,2017-11-11
391,Saved,Khalid,1339286,2017-11-10,2017-11-11
392,No Promises,Cheat Codes,1333373,2017-11-10,2017-11-11
393,8TEEN,Khalid,1329710,2017-11-10,2017-11-11
394,Most Girls,Hailee Steinfeld,1327809,2017-11-10,2017-11-11
395,Easy Love,Lauv,1317164,2017-11-10,2017-11-11
396,Love U Better,Ty Dolla $ign,1312493,2017-11-10,2017-11-11
397,Die For You,The Weeknd,1307710,2017-11-10,2017-11-11
398,Horses,"PnB Rock, Kodak Black, A Boogie Wit da Hoodie",1307206,2017-11-10,2017-11-11
399,Bank Account,21 Savage,8301827,2017-08-25,2017-08-26
400,Unforgettable,French Montana,7576557,2017-08-25,2017-08-26
401,XO TOUR Llif3,Lil Uzi Vert,7485131,2017-08-25,2017-08-26
402,Friends,"Justin Bieber, BloodPop®",6659321,2017-08-25,2017-08-26
403,Bodak Yellow,Cardi B,6513115,2017-08-25,2017-08-26
404,Wild Thoughts,DJ Khaled,6389498,2017-08-25,2017-08-26
405,Despacito - Remix,Luis Fonsi,6043987,2017-08-25,2017-08-26
406,HUMBLE.,Kendrick Lamar,6017924,2017-08-25,2017-08-26
