ID,Name,Artists,Streams,S.Week,BB.Week
999,Going Bad,Meek Mill,6523365,2019-04-12,2019-04-13
1001,7 Rings,Ariana Grande,6439592,2019-04-12,2019-04-13
1002,Sucker,Jonas Brothers,6385996,2019-04-12,2019-04-13
1003,Old Town Road,Lil Nas X,20673623,2019-04-12,2019-04-13
1004,bad guy,Billie Eilish,13890824,2019-04-12,2019-04-13
1005,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,8696363,2019-04-12,2019-04-13
1006,wish you were gay,Billie Eilish,8165235,2019-04-12,2019-04-13
1007,MIDDLE CHILD,J. Cole,7808654,2019-04-12,2019-04-13
1008,Swervin,A Boogie Wit da Hoodie,7378430,2019-04-12,2019-04-13
1009,Talk,Khalid,7292412,2019-04-12,2019-04-13
1010,Outta My Head,"Khalid, John Mayer",7094716,2019-04-12,2019-04-13
1011,Better,Khalid,6978918,2019-04-12,2019-04-13
1012,Wow.,Post Malone,6948506,2019-04-12,2019-04-13
1013,bury a friend,Billie Eilish,6887623,2019-04-12,2019-04-13
1014,My Bad,Khalid,6679962,2019-04-12,2019-04-13
1015,Murder On My Mind,YNW Melly,6618213,2019-04-12,2019-04-13
1016,when the party's over,Billie Eilish,6176551,2019-04-12,2019-04-13
1017,Monopoly,"Ariana Grande, Victoria Monet",5512870,2019-04-12,2019-04-13
1018,Pure Water,"Mustard, Migos",5453259,2019-04-12,2019-04-13
1019,Mixed Personalities,YNW Melly,5324871,2019-04-12,2019-04-13
1020,Robbery,Juice WRLD,5229177,2019-04-12,2019-04-13
1021,Saturday Nights,Khalid,5131881,2019-04-12,2019-04-13
1022,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,5080706,2019-04-12,2019-04-13
1023,my strange addiction,Billie Eilish,5076956,2019-04-12,2019-04-13
1024,xanny,Billie Eilish,4998364,2019-04-12,2019-04-13
1025,you should see me in a crown,Billie Eilish,4973748,2019-04-12,2019-04-13
1026,Don't Pretend,Khalid,4973336,2019-04-12,2019-04-13
1027,all the good girls go to hell,Billie Eilish,4909126,2019-04-12,2019-04-13
1028,Kill This Love,BLACKPINK,4767088,2019-04-12,2019-04-13
1029,a lot,21 Savage,4644463,2019-04-12,2019-04-13
1030,Drip Too Hard (Lil Baby & Gunna),Lil Baby,4620959,2019-04-12,2019-04-13
1031,Racks In The Middle,Nipsey Hussle,4493543,2019-04-12,2019-04-13
1032,Cool,Jonas Brothers,4324557,2019-04-12,2019-04-13
1033,Faucet Failure,Ski Mask The Slump God,4207689,2019-04-12,2019-04-13
1034,Bad Luck,Khalid,4146097,2019-04-12,2019-04-13
1035,Look Back At It,A Boogie Wit da Hoodie,4039101,2019-04-12,2019-04-13
1036,Envy Me,Calboy,4015447,2019-04-12,2019-04-13
1037,Without Me,Halsey,3987874,2019-04-12,2019-04-13
1038,lovely,Billie Eilish,3971050,2019-04-12,2019-04-13
1039,Let Me Down Slowly,Alec Benjamin,3949567,2019-04-12,2019-04-13
1040,SICKO MODE,Travis Scott,3945982,2019-04-12,2019-04-13
1041,Right Back,Khalid,3945373,2019-04-12,2019-04-13
1042,Happier,Marshmello,3937560,2019-04-12,2019-04-13
1043,i love you,Billie Eilish,3880613,2019-04-12,2019-04-13
1044,Thotiana,Blueface,3863457,2019-04-12,2019-04-13
1045,"Thank U, Next",Ariana Grande,3836034,2019-04-12,2019-04-13
1046,Here With Me,Marshmello,3818561,2019-04-12,2019-04-13
1047,Free Spirit,Khalid,3784529,2019-04-12,2019-04-13
1048,ilomilo,Billie Eilish,3757979,2019-04-12,2019-04-13
1049,Eastside,"benny blanco, Halsey, Khalid, Halsey, Khalid",3639599,2019-04-12,2019-04-13
1050,Lucid Dreams,Juice WRLD,3576569,2019-04-12,2019-04-13
1051,listen before i go,Billie Eilish,3545319,2019-04-12,2019-04-13
1052,Paradise,Bazzi,3510962,2019-04-12,2019-04-13
1053,Dancing With A Stranger,"Sam Smith, Normani",3406610,2019-04-12,2019-04-13
1054,Intro,Khalid,3381544,2019-04-12,2019-04-13
1055,Hundred,Khalid,3359118,2019-04-12,2019-04-13
1056,Mo Bamba,Sheck Wes,3353220,2019-04-12,2019-04-13
1057,Shallow,Lady Gaga,3336838,2019-04-12,2019-04-13
1058,Better Now,Post Malone,3333363,2019-04-12,2019-04-13
1059,Please Me,Cardi B,3331291,2019-04-12,2019-04-13
1060,i,Lil Skies,3210807,2019-04-12,2019-04-13
1061,ZEZE,Kodak Black,3170310,2019-04-12,2019-04-13
1062,8,Billie Eilish,3159641,2019-04-12,2019-04-13
1063,Paradise,Khalid,3159605,2019-04-12,2019-04-13
1064,Self,Khalid,3151953,2019-04-12,2019-04-13
1065,Twenty One,Khalid,3082816,2019-04-12,2019-04-13
1066,SAD!,XXXTENTACION,3048819,2019-04-12,2019-04-13
1067,i'm so tired...,Lauv,2969044,2019-04-12,2019-04-13
1068,Beautiful Crazy,Luke Combs,2916199,2019-04-12,2019-04-13
1069,Splashin,Rich The Kid,2889829,2019-04-12,2019-04-13
1070,Leave Me Alone,Flipp Dinero,2869715,2019-04-12,2019-04-13
1071,Don't Call Me Up,Mabel,2849382,2019-04-12,2019-04-13
1072,Wake Up in the Sky,Gucci Mane,2828477,2019-04-12,2019-04-13
1073,Moonlight,XXXTENTACION,2769426,2019-04-12,2019-04-13
1074,High Hopes,Panic! At The Disco,2756073,2019-04-12,2019-04-13
1075,The Bones,Maren Morris,2739293,2019-04-12,2019-04-13
1076,Armed And Dangerous,Juice WRLD,2701791,2019-04-12,2019-04-13
1077,rockstar,Post Malone,2682201,2019-04-12,2019-04-13
1078,Bluffin',Khalid,2664734,2019-04-12,2019-04-13
1079,Money,Cardi B,2649085,2019-04-12,2019-04-13
1080,Sweet but Psycho,Ava Max,2609033,2019-04-12,2019-04-13
1081,Space Cadet,Metro Boomin,2564532,2019-04-12,2019-04-13
1082,idontwannabeyouanymore,Billie Eilish,2525249,2019-04-12,2019-04-13
1083,Con Calma,Daddy Yankee,2489717,2019-04-12,2019-04-13
1084,Alive,Khalid,2486612,2019-04-12,2019-04-13
1085,Be Alright,Dean Lewis,2485739,2019-04-12,2019-04-13
1086,Sanguine Paradise,Lil Uzi Vert,2434075,2019-04-12,2019-04-13
1087,Hear Me Calling,Juice WRLD,2431218,2019-04-12,2019-04-13
1088,Pop Out,Polo G,2424030,2019-04-12,2019-04-13
1089,Jocelyn Flores,XXXTENTACION,2420263,2019-04-12,2019-04-13
1090,Pure Cocaine,Lil Baby,2397199,2019-04-12,2019-04-13
1091,Act Up,City Girls,2390220,2019-04-12,2019-04-13
1092,MIA,Bad Bunny,2386266,2019-04-12,2019-04-13
1093,I Fall Apart,Post Malone,2374967,2019-04-12,2019-04-13
1094,Freaky,Tory Lanez,2372291,2019-04-12,2019-04-13
1095,Wow. - Remix,Post Malone,2353762,2019-04-12,2019-04-13
1096,Taste,Tyga,2347962,2019-04-12,2019-04-13
1097,Nonstop,Drake,2342389,2019-04-12,2019-04-13
1098,goodbye,Billie Eilish,2342287,2019-04-12,2019-04-13
1099,Psycho,Post Malone,2338976,2019-04-12,2019-04-13
1100,Heaven,Khalid,2334364,2019-04-12,2019-04-13
1101,Price On My Head,NAV,2307566,2019-04-12,2019-04-13
1102,Yes Indeed,Lil Baby,2300132,2019-04-12,2019-04-13
1103,Bohemian Rhapsody - Remastered 2011,Queen,2298894,2019-04-12,2019-04-13
1104,Make Believe,Juice WRLD,2279409,2019-04-12,2019-04-13
1105,SLOW DANCING IN THE DARK,Joji,2274107,2019-04-12,2019-04-13
1106,ocean eyes,Billie Eilish,2236393,2019-04-12,2019-04-13
1107,Legacy,Offset,2235753,2019-04-12,2019-04-13
1108,I Like It,Cardi B,2231363,2019-04-12,2019-04-13
1109,Startender,A Boogie Wit da Hoodie,2221886,2019-04-12,2019-04-13
1110,Who Do You Love,The Chainsmokers,2203135,2019-04-12,2019-04-13
1111,Youngblood,5 Seconds of Summer,2194510,2019-04-12,2019-04-13
1112,Noticed,Lil Mosey,2183965,2019-04-12,2019-04-13
1113,Ric Flair Drip (& Metro Boomin),Offset,2182531,2019-04-12,2019-04-13
1114,Red Room,Offset,2172965,2019-04-12,2019-04-13
1115,Undrunk,FLETCHER,2164476,2019-04-12,2019-04-13
1116,Close To Me,"Ellie Goulding, Diplo",2140975,2019-04-12,2019-04-13
1117,All Girls Are The Same,Juice WRLD,2140188,2019-04-12,2019-04-13
1118,Calling My Spirit,Kodak Black,2132722,2019-04-12,2019-04-13
1119,bellyache,Billie Eilish,2132012,2019-04-12,2019-04-13
1120,Tequila,Dan + Shay,2122344,2019-04-12,2019-04-13
1121,Fast,Juice WRLD,2122058,2019-04-12,2019-04-13
1122,Young Dumb & Broke,Khalid,2105138,2019-04-12,2019-04-13
1123,Last Time That I Checc'd,Nipsey Hussle,2091752,2019-04-12,2019-04-13
1124,Fuck Love,XXXTENTACION,2054713,2019-04-12,2019-04-13
1125,Nights Like This,Kehlani,2042659,2019-04-12,2019-04-13
1126,I Like Me Better,Lauv,2035888,2019-04-12,2019-04-13
1127,Shotta Flow,NLE Choppa,2034108,2019-04-12,2019-04-13
1128,XO TOUR Llif3,Lil Uzi Vert,2020215,2019-04-12,2019-04-13
1129,Meant to Be,Bebe Rexha,2018965,2019-04-12,2019-04-13
1130,Project Dreams,Marshmello,2008803,2019-04-12,2019-04-13
1131,Location,Khalid,1994291,2019-04-12,2019-04-13
1132,Congratulations,Post Malone,1991139,2019-04-12,2019-04-13
1133,Baila Baila Baila,Ozuna,1969907,2019-04-12,2019-04-13
1134,God's Plan,Drake,1962728,2019-04-12,2019-04-13
1135,Dedication,Nipsey Hussle,1951615,2019-04-12,2019-04-13
1136,NASA,Ariana Grande,1943175,2019-04-12,2019-04-13
1137,Suge,DaBaby,1939370,2019-04-12,2019-04-13
1138,Empty,Juice WRLD,1939050,2019-04-12,2019-04-13
1139,Speechless,Dan + Shay,1934606,2019-04-12,2019-04-13
1140,Worth It,YK Osiris,1933907,2019-04-12,2019-04-13
1141,Needy,Ariana Grande,1914847,2019-04-12,2019-04-13
1142,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",benny blanco,1900869,2019-04-12,2019-04-13
1143,Look Alive,BlocBoy JB,1899907,2019-04-12,2019-04-13
1144,Taki Taki,"DJ Snake, Selena Gomez, Ozuna, Cardi B",1872163,2019-04-12,2019-04-13
1145,Beautiful,Bazzi,1861193,2019-04-12,2019-04-13
1146,changes,XXXTENTACION,1834017,2019-04-12,2019-04-13
1147,Grinding All My Life,Nipsey Hussle,1822973,2019-04-12,2019-04-13
1148,Don't Stop Me Now - Remastered,Queen,1810085,2019-04-12,2019-04-13
1149,HUMBLE.,Kendrick Lamar,1804236,2019-04-12,2019-04-13
1150,Nuketown,Ski Mask The Slump God,1799376,2019-04-12,2019-04-13
1151,Insomnia,Daya,1795591,2019-04-12,2019-04-13
1152,Mine,Bazzi,1773743,2019-04-12,2019-04-13
1153,CHopstix,"ScHoolboy Q, Travis Scott",1768936,2019-04-12,2019-04-13
1154,goosebumps,Travis Scott,1767869,2019-04-12,2019-04-13
1155,Best Part,H.E.R.,1764414,2019-04-12,2019-04-13
1156,Keanu Reeves,Logic,1762324,2019-04-12,2019-04-13
1157,No Role Modelz,J. Cole,1761784,2019-04-12,2019-04-13
1158,Secreto,Anuel AA,1715777,2019-04-12,2019-04-13
1159,This Feeling,The Chainsmokers,1707496,2019-04-12,2019-04-13
1160,Love Lies,"Khalid, Normani",1700011,2019-04-12,2019-04-13
1161,YOSEMITE,Travis Scott,1695940,2019-04-12,2019-04-13
1162,Lean Wit Me,Juice WRLD,1694622,2019-04-12,2019-04-13
1163,Nice For What,Drake,1690228,2019-04-12,2019-04-13
1164,Girls Like You,Maroon 5,1674551,2019-04-12,2019-04-13
1165,Fine China,Future,1669455,2019-04-12,2019-04-13
1166,Con Altura,ROSALÍA,1667149,2019-04-12,2019-04-13
1167,On My Way,Alan Walker,1665408,2019-04-12,2019-04-13
1168,Walk Me Home,P!nk,1664078,2019-04-12,2019-04-13
1169,No Tears Left To Cry,Ariana Grande,1658481,2019-04-12,2019-04-13
1170,Roses,"benny blanco, Juice WRLD",1658387,2019-04-12,2019-04-13
1171,Numb Numb Juice,ScHoolboy Q,1649533,2019-04-12,2019-04-13
1172,In My Feelings,Drake,1648767,2019-04-12,2019-04-13
1173,Die Young,Roddy Ricch,1645494,2019-04-12,2019-04-13
1174,Double Up,Nipsey Hussle,1625257,2019-04-12,2019-04-13
1175,Candy Paint,Post Malone,1605652,2019-04-12,2019-04-13
1176,The Middle,Zedd,1602929,2019-04-12,2019-04-13
1177,TAlk tO Me,"Tory Lanez, Rich The Kid",1598830,2019-04-12,2019-04-13
1178,Imagine,Ariana Grande,1582479,2019-04-12,2019-04-13
1179,Whiskey Glasses,Morgan Wallen,1566393,2019-04-12,2019-04-13
1180,Slime Belief,YoungBoy Never Broke Again,1527477,2019-04-12,2019-04-13
1181,Everybody Dies In Their Nightmares,XXXTENTACION,1526829,2019-04-12,2019-04-13
1182,She Got the Best of Me,Luke Combs,1526360,2019-04-12,2019-04-13
1183,BIG BANK,YG,1522632,2019-04-12,2019-04-13
1184,Inmortal,Aventura,1519370,2019-04-12,2019-04-13
1185,FEFE,6ix9ine,1512242,2019-04-12,2019-04-13
1186,Feeling,Juice WRLD,1507498,2019-04-12,2019-04-13
1187,Lost In Japan,Shawn Mendes,1507155,2019-04-12,2019-04-13
1188,Calma - Remix,Pedro Capó,1499759,2019-04-12,2019-04-13
1189,Thunder,Imagine Dragons,1494891,2019-04-12,2019-04-13
1190,Falling Down - Bonus Track,Lil Peep,1491997,2019-04-12,2019-04-13
1191,Speed It Up,Gunna,1487811,2019-04-12,2019-04-13
1192,Heaven,Kane Brown,1484293,2019-04-12,2019-04-13
1193,Believer,Imagine Dragons,1477026,2019-04-12,2019-04-13
1194,Silence,Marshmello,1471386,2019-04-12,2019-04-13
1195,Say You Won't Let Go,James Arthur,1471212,2019-04-12,2019-04-13
1196,Close Friends (Lil Baby & Gunna),Lil Baby,1469645,2019-04-12,2019-04-13
1197,my boy,Billie Eilish,1465147,2019-04-12,2019-04-13
1198,West Coast,G-Eazy,1463743,2019-04-12,2019-04-13
2399,bad guy,Billie Eilish,9186383,2019-06-14,2019-06-15
2400,Old Town Road,Lil Nas X,8404518,2019-06-14,2019-06-15
2401,The London,Young Thug,7707978,2019-06-14,2019-06-15
2402,Suge,DaBaby,7638603,2019-06-14,2019-06-15
2403,Truth Hurts,Lizzo,7384771,2019-06-14,2019-06-15
2404,EARFQUAKE,"Tyler, The Creator",7312397,2019-06-14,2019-06-15
2405,I Don't Care,"Ed Sheeran, Justin Bieber",7131713,2019-06-14,2019-06-15
2406,Pop Out,Polo G,6853272,2019-06-14,2019-06-15
2407,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,6635276,2019-06-14,2019-06-15
2408,Sucker,Jonas Brothers,5984286,2019-06-14,2019-06-15
2409,No Guidance,Chris Brown,5973911,2019-06-14,2019-06-15
2410,Only Human,Jonas Brothers,5543322,2019-06-14,2019-06-15
2411,Talk,Khalid,5456530,2019-06-14,2019-06-15
2412,If I Can't Have You,Shawn Mendes,5269420,2019-06-14,2019-06-15
2413,MIDDLE CHILD,J. Cole,5262287,2019-06-14,2019-06-15
2414,Wow.,Post Malone,4989033,2019-06-14,2019-06-15
2415,Go Loko,YG,4929273,2019-06-14,2019-06-15
2416,Heaven,Avicii,4824049,2019-06-14,2019-06-15
2417,Ransom,Lil Tecca,4790941,2019-06-14,2019-06-15
2418,Never Really Over,Katy Perry,4689041,2019-06-14,2019-06-15
2419,Sanguine Paradise,Lil Uzi Vert,4468500,2019-06-14,2019-06-15
2420,Swervin,A Boogie Wit da Hoodie,4413416,2019-06-14,2019-06-15
2422,7 Rings,Ariana Grande,4034687,2019-06-14,2019-06-15
2423,Going Bad,Meek Mill,4017977,2019-06-14,2019-06-15
2424,Pure Water,"Mustard, Migos",4002720,2019-06-14,2019-06-15
2425,when the party's over,Billie Eilish,3989793,2019-06-14,2019-06-15
2426,Call You Mine,"The Chainsmokers, Bebe Rexha",3958127,2019-06-14,2019-06-15
2427,Envy Me,Calboy,3724700,2019-06-14,2019-06-15
2428,Cross Me,Ed Sheeran,3711971,2019-06-14,2019-06-15
2429,Murder On My Mind,YNW Melly,3709772,2019-06-14,2019-06-15
2430,Drip Too Hard (Lil Baby & Gunna),Lil Baby,3697507,2019-06-14,2019-06-15
2431,SOS,Avicii,3685928,2019-06-14,2019-06-15
2432,Mother's Daughter,Miley Cyrus,3661471,2019-06-14,2019-06-15
2433,bury a friend,Billie Eilish,3516621,2019-06-14,2019-06-15
2434,Robbery,Juice WRLD,3508639,2019-06-14,2019-06-15
2435,Someone You Loved,Lewis Capaldi,3440367,2019-06-14,2019-06-15
2436,Summer Days,Martin Garrix,3394314,2019-06-14,2019-06-15
2437,Isis,Joyner Lucas,3362855,2019-06-14,2019-06-15
2438,Easier,5 Seconds of Summer,3331039,2019-06-14,2019-06-15
2439,Callaita,Bad Bunny,3300888,2019-06-14,2019-06-15
2440,Paradise,Bazzi,3265583,2019-06-14,2019-06-15
2441,Better,Khalid,3233590,2019-06-14,2019-06-15
2442,Eastside,"benny blanco, Halsey, Khalid, Halsey, Khalid",3212295,2019-06-14,2019-06-15
2443,Lucid Dreams,Juice WRLD,3204818,2019-06-14,2019-06-15
2444,lovely,"Billie Eilish, Khalid",3196643,2019-06-14,2019-06-15
2445,SICKO MODE,Travis Scott,3169061,2019-06-14,2019-06-15
2446,Homicide,Logic,3143628,2019-06-14,2019-06-15
2447,Shotta Flow,NLE Choppa,3117187,2019-06-14,2019-06-15
2448,Happier,Marshmello,3081055,2019-06-14,2019-06-15
2449,Beer Never Broke My Heart,Luke Combs,3046246,2019-06-14,2019-06-15
2450,ME!,Taylor Swift,3025115,2019-06-14,2019-06-15
2451,Mixed Personalities,YNW Melly,3016059,2019-06-14,2019-06-15
2452,wish you were gay,Billie Eilish,2974377,2019-06-14,2019-06-15
2453,Look Back At It,A Boogie Wit da Hoodie,2962249,2019-06-14,2019-06-15
2454,a lot,21 Savage,2951028,2019-06-14,2019-06-15
2455,Government Official,Future,2892232,2019-06-14,2019-06-15
2456,Nightmare,Halsey,2888162,2019-06-14,2019-06-15
2457,I Believe,Jonas Brothers,2885894,2019-06-14,2019-06-15
2458,Press,Cardi B,2852667,2019-06-14,2019-06-15
2459,Baby Sitter,DaBaby,2820316,2019-06-14,2019-06-15
2460,Without Me,Halsey,2796279,2019-06-14,2019-06-15
2461,Clout,Offset,2786066,2019-06-14,2019-06-15
2462,Cool,Jonas Brothers,2742682,2019-06-14,2019-06-15
2463,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,2738663,2019-06-14,2019-06-15
2464,Whiskey Glasses,Morgan Wallen,2733040,2019-06-14,2019-06-15
2465,Dancing With A Stranger,"Sam Smith, Normani",2696843,2019-06-14,2019-06-15
2466,"Thank U, Next",Ariana Grande,2664783,2019-06-14,2019-06-15
2467,Better Now,Post Malone,2664066,2019-06-14,2019-06-15
2468,Faucet Failure,Ski Mask The Slump God,2612151,2019-06-14,2019-06-15
2469,Rescue Me,OneRepublic,2603593,2019-06-14,2019-06-15
2470,SAD!,XXXTENTACION,2591143,2019-06-14,2019-06-15
2471,rockstar,Post Malone,2553442,2019-06-14,2019-06-15
2472,Soltera - Remix,Lunay,2532142,2019-06-14,2019-06-15
2473,Dream Glow (BTS World Original Soundtrack) - Pt. 1,BTS,2524313,2019-06-14,2019-06-15
2474,Rollercoaster,Jonas Brothers,2445115,2019-06-14,2019-06-15
2475,Beautiful Crazy,Luke Combs,2421015,2019-06-14,2019-06-15
2476,High Hopes,Panic! At The Disco,2416326,2019-06-14,2019-06-15
2477,Act Up,City Girls,2410163,2019-06-14,2019-06-15
2478,Used To Be,Jonas Brothers,2402380,2019-06-14,2019-06-15
2479,i'm so tired...,Lauv,2383629,2019-06-14,2019-06-15
2480,Con Calma,Daddy Yankee,2383310,2019-06-14,2019-06-15
2481,Sweet but Psycho,Ava Max,2359497,2019-06-14,2019-06-15
2482,i,Lil Skies,2356983,2019-06-14,2019-06-15
2483,Otro Trago,Sech,2356307,2019-06-14,2019-06-15
2484,Shallow,Lady Gaga,2354400,2019-06-14,2019-06-15
2485,Taste,Tyga,2348921,2019-06-14,2019-06-15
2486,Goin Baby,DaBaby,2345108,2019-06-14,2019-06-15
2487,you should see me in a crown,Billie Eilish,2319616,2019-06-14,2019-06-15
2488,ZEZE,Kodak Black,2293051,2019-06-14,2019-06-15
2489,Tap,NAV,2266157,2019-06-14,2019-06-15
2490,Moonlight,XXXTENTACION,2247703,2019-06-14,2019-06-15
2491,Love Her,Jonas Brothers,2214901,2019-06-14,2019-06-15
2492,Look What God Gave Her,Thomas Rhett,2195101,2019-06-14,2019-06-15
2493,Don't Throw it Away,Jonas Brothers,2180754,2019-06-14,2019-06-15
2494,Saturday Nights,Khalid,2175905,2019-06-14,2019-06-15
2495,Every Single Time,Jonas Brothers,2171944,2019-06-14,2019-06-15
2496,Love Me Less,MAX,2164896,2019-06-14,2019-06-15
2497,Jocelyn Flores,XXXTENTACION,2152541,2019-06-14,2019-06-15
2498,Haute,Tyga,2143355,2019-06-14,2019-06-15
2499,That's A Rack,Lil Uzi Vert,2141695,2019-06-14,2019-06-15
2500,Mo Bamba,Sheck Wes,2116639,2019-06-14,2019-06-15
2501,my strange addiction,Billie Eilish,2109857,2019-06-14,2019-06-15
2502,Even Though I'm Leaving,Luke Combs,2106361,2019-06-14,2019-06-15
2503,God's Country,Blake Shelton,2104852,2019-06-14,2019-06-15
2504,Amor Genuino,Ozuna,2100222,2019-06-14,2019-06-15
2505,Meant to Be,Bebe Rexha,2090652,2019-06-14,2019-06-15
2506,Juice,Lizzo,2079948,2019-06-14,2019-06-15
2507,I Like It,Cardi B,2069439,2019-06-14,2019-06-15
2508,i love you,Billie Eilish,2061703,2019-06-14,2019-06-15
2509,Hesitate,Jonas Brothers,2050886,2019-06-14,2019-06-15
2510,Youngblood,5 Seconds of Summer,2041779,2019-06-14,2019-06-15
2511,"Hey Look Ma, I Made It",Panic! At The Disco,2037709,2019-06-14,2019-06-15
2512,Armed And Dangerous,Juice WRLD,2037391,2019-06-14,2019-06-15
2513,Leave Me Alone,Flipp Dinero,2035792,2019-06-14,2019-06-15
2514,Find U Again,Mark Ronson,2033366,2019-06-14,2019-06-15
2515,Just Us,DJ Khaled,2031860,2019-06-14,2019-06-15
2516,GRoCERIES,Chance the Rapper,2029047,2019-06-14,2019-06-15
2517,Wake Up in the Sky,Gucci Mane,2024974,2019-06-14,2019-06-15
2518,ocean eyes,Billie Eilish,2020740,2019-06-14,2019-06-15
2519,I THINK,"Tyler, The Creator",2017865,2019-06-14,2019-06-15
2520,Floating,ScHoolboy Q,2012710,2019-06-14,2019-06-15
2521,Under Enemy Arms,Trippie Redd,1998873,2019-06-14,2019-06-15
2522,Nonstop,Drake,1995836,2019-06-14,2019-06-15
2523,All Girls Are The Same,Juice WRLD,1994277,2019-06-14,2019-06-15
2524,Worth It,YK Osiris,1986390,2019-06-14,2019-06-15
2525,Feeling,Juice WRLD,1982596,2019-06-14,2019-06-15
2526,Here With Me,Marshmello,1978977,2019-06-14,2019-06-15
2527,I Fall Apart,Post Malone,1960132,2019-06-14,2019-06-15
2528,I Think I'm OKAY,"Machine Gun Kelly, YUNGBLUD, Travis Barker",1958659,2019-06-14,2019-06-15
2529,Boy With Luv,BTS,1944212,2019-06-14,2019-06-15
2530,Tequila,Dan + Shay,1939691,2019-06-14,2019-06-15
2531,Strangers,Jonas Brothers,1935629,2019-06-14,2019-06-15
2532,Speechless,Dan + Shay,1934216,2019-06-14,2019-06-15
2533,Yes Indeed,Lil Baby,1931810,2019-06-14,2019-06-15
2534,xanny,Billie Eilish,1930875,2019-06-14,2019-06-15
2535,Comeback,Jonas Brothers,1920931,2019-06-14,2019-06-15
2536,SLOW DANCING IN THE DARK,Joji,1916562,2019-06-14,2019-06-15
2537,I Like Me Better,Lauv,1914409,2019-06-14,2019-06-15
2538,La La Land,Bryce Vine,1913465,2019-06-14,2019-06-15
2539,Psycho,Post Malone,1910604,2019-06-14,2019-06-15
2540,Civil War,Russ,1907839,2019-06-14,2019-06-15
2541,Bohemian Rhapsody - Remastered 2011,Queen,1896169,2019-06-14,2019-06-15
2542,XO TOUR Llif3,Lil Uzi Vert,1886768,2019-06-14,2019-06-15
2543,Noticed,Lil Mosey,1881182,2019-06-14,2019-06-15
2544,3 Nights,Dominic Fike,1879838,2019-06-14,2019-06-15
2545,Ric Flair Drip (& Metro Boomin),Offset,1869016,2019-06-14,2019-06-15
2546,Please Tell Me,Future,1857590,2019-06-14,2019-06-15
2547,God's Plan,Drake,1856007,2019-06-14,2019-06-15
2548,Wish Wish,DJ Khaled,1846618,2019-06-14,2019-06-15
2549,Congratulations,Post Malone,1845555,2019-06-14,2019-06-15
2550,Be Alright,Dean Lewis,1840277,2019-06-14,2019-06-15
2551,Broke Leg,"Tory Lanez, Quavo, Tyga, Quavo, Tyga",1829406,2019-06-14,2019-06-15
2552,Happy When I'm Sad,Jonas Brothers,1829397,2019-06-14,2019-06-15
2553,Fuck Love,XXXTENTACION,1829033,2019-06-14,2019-06-15
2554,MIA,Bad Bunny,1817358,2019-06-14,2019-06-15
2555,Trust,Jonas Brothers,1808444,2019-06-14,2019-06-15
2556,Young Dumb & Broke,Khalid,1806284,2019-06-14,2019-06-15
2557,XanaX Damage,Future,1790299,2019-06-14,2019-06-15
2558,idontwannabeyouanymore,Billie Eilish,1785560,2019-06-14,2019-06-15
2559,Money,Cardi B,1773159,2019-06-14,2019-06-15
2560,Rumor,Lee Brice,1762506,2019-06-14,2019-06-15
2561,Freaky,Tory Lanez,1751133,2019-06-14,2019-06-15
2562,all the good girls go to hell,Billie Eilish,1743272,2019-06-14,2019-06-15
2563,Who Do You Love,The Chainsmokers,1731640,2019-06-14,2019-06-15
2564,Location,Khalid,1730371,2019-06-14,2019-06-15
2565,Thotiana,Blueface,1729016,2019-06-14,2019-06-15
2566,bellyache,Billie Eilish,1702592,2019-06-14,2019-06-15
2567,The Search,NF,1702470,2019-06-14,2019-06-15
2568,Let Me Go,"Hailee Steinfeld, Alesso, Florida Georgia Line, watt",1694637,2019-06-14,2019-06-15
2569,Slime Belief,YoungBoy Never Broke Again,1689553,2019-06-14,2019-06-15
2570,The Middle,Zedd,1688939,2019-06-14,2019-06-15
2571,She Got the Best of Me,Luke Combs,1679103,2019-06-14,2019-06-15
2572,Mad Love,Mabel,1672972,2019-06-14,2019-06-15
2573,Lovin' On You,Luke Combs,1664098,2019-06-14,2019-06-15
2574,HUMBLE.,Kendrick Lamar,1654112,2019-06-14,2019-06-15
2575,Refrigerator Door,Luke Combs,1651098,2019-06-14,2019-06-15
2576,When It Rains It Pours,Luke Combs,1635924,2019-06-14,2019-06-15
2577,Please Me,Cardi B,1625120,2019-06-14,2019-06-15
2578,Close To Me,"Ellie Goulding, Diplo",1610385,2019-06-14,2019-06-15
2579,Die Young,Roddy Ricch,1606365,2019-06-14,2019-06-15
2580,Hurricane,Luke Combs,1604109,2019-06-14,2019-06-15
2581,Moon Over Mexico,Luke Combs,1598165,2019-06-14,2019-06-15
2582,Te Robaré,Nicky Jam,1595184,2019-06-14,2019-06-15
2583,goosebumps,Travis Scott,1593843,2019-06-14,2019-06-15
2584,Nights Like This,Kehlani,1583161,2019-06-14,2019-06-15
2585,All To Myself,Dan + Shay,1582637,2019-06-14,2019-06-15
2586,Space Cadet,Metro Boomin,1576298,2019-06-14,2019-06-15
2587,Racks In The Middle,Nipsey Hussle,1573580,2019-06-14,2019-06-15
